symbolic_name,domain
SimulationSignalType_Phase,data_items
SimulationSignalType_UpdateInterval,data_items
SimulationSignals,data_items
TransmissionItemType,devices
TransmissionItemType_SourceAddress,devices
TsFormatType,data_items
TsFormatType_CloseColor,data_items
TsFormatType_CloseLabel,data_items
TsFormatType_OpenColor,data_items
TsFormatType_OpenLabel,data_items
TsFormats,data_items
UserType,security
UserType_AccessRights,security
UserType_MultiSessions,security
UserType_ProfileJson,security
UserType_ProfileRevision,security
UserType_SaveProfile,security
UserType_VerifyPassword,security
Users,security
